Transaction Date,Post Date,Description,Category,Type,Amount,Memo
12/15/2021,12/16/2021,DD DOORDASH ANLOI,Food & Drink,Sale,-38.13,
12/09/2021,12/10/2021,DD DOORDASH KUNGFUTEA,Food & Drink,Sale,-18.23,
12/03/2021,12/05/2021,DD DOORDASH CHICK-FIL,Food & Drink,Sale,-14.05,
11/30/2021,12/01/2021,DD DOORDASH TACOBELL,Food & Drink,Sale,-28.10,
11/27/2021,11/28/2021,DD DOORDASH URBANHOTP,Food & Drink,Sale,-61.82,
11/23/2021,11/23/2021,Payment Thank You-Mobile,,Payment,221.45,
11/19/2021,11/21/2021,COSTCO GAS #1000,Gas,Sale,-54.53,
11/12/2021,11/12/2021,DD DOORDASH SAFEWAY,Food & Drink,Sale,-51.46,
11/05/2021,11/07/2021,DD DOORDASH ANLOI,Food & Drink,Sale,-52.39,
11/04/2021,11/05/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
11/03/2021,11/04/2021,DD DOORDASH ANLOI,Food & Drink,Sale,-18.16,
10/27/2021,10/28/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-19.91,
10/24/2021,10/24/2021,Payment Thank You-Mobile,,Payment,229.67,
10/19/2021,10/20/2021,DOORDASH*TACO BELL,Food & Drink,Sale,-14.56,
10/15/2021,10/17/2021,ASG LOT 64 VERIDIAN,Travel,Sale,-10.00,
10/13/2021,10/13/2021,DOORDASH*BONCHON,Food & Drink,Sale,-36.22,
10/11/2021,10/11/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-18.77,
10/08/2021,10/10/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-15.65,
10/01/2021,10/01/2021,ANNUAL MEMBERSHIP FEE,Fees & Adjustments,Fee,-49.00,
09/28/2021,09/29/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-16.20,
09/27/2021,09/27/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-14.45,
09/25/2021,09/26/2021,DOORDASH*MAIWAND KABOB,Food & Drink,Sale,-16.03,
09/24/2021,09/24/2021,Payment Thank You-Mobile,,Payment,355.05,
09/24/2021,09/24/2021,DOORDASH*P.F. CHANGS,Food & Drink,Sale,-23.15,
09/22/2021,09/23/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-15.64,
09/20/2021,09/21/2021,DOORDASH*AN LOI,Food & Drink,Sale,-43.08,
09/19/2021,09/19/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-15.64,
09/17/2021,09/19/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-32.49,
09/16/2021,09/16/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-19.44,
09/10/2021,09/12/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-14.71,
09/09/2021,09/10/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-23.23,
09/08/2021,09/09/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-15.99,
09/06/2021,09/07/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-29.06,
09/05/2021,09/05/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-14.71,
09/04/2021,09/05/2021,DOORDASH*CHICK-FIL-A,Food & Drink,Sale,-21.24,
09/02/2021,09/03/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-29.48,
08/29/2021,08/30/2021,DOORDASH*POPEYES,Food & Drink,Sale,-32.31,
08/30/2021,08/30/2021,DOORDASH*AN LOI,Food & Drink,Sale,-23.59,
08/29/2021,08/29/2021,Payment Thank You-Mobile,,Payment,356.48,
08/28/2021,08/29/2021,DOORDASH*QDOBA MEXICAN,Food & Drink,Sale,-40.08,
08/27/2021,08/27/2021,PURCHASE INTEREST CHARGE,Fees & Adjustments,Fee,-4.11,
08/24/2021,08/24/2021,LATE FEE,Fees & Adjustments,Fee,-9.01,
08/18/2021,08/18/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-61.03,
08/12/2021,08/12/2021,DOORDASH*AN LOI,Food & Drink,Sale,-57.33,
08/08/2021,08/09/2021,DOORDASH*TACO BELL,Food & Drink,Sale,-21.55,
08/07/2021,08/08/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-16.44,
08/05/2021,08/05/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-23.86,
08/04/2021,08/04/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-18.98,
08/02/2021,08/02/2021,DOORDASH*AN LOI,Food & Drink,Sale,-40.74,
07/31/2021,08/01/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
07/29/2021,07/30/2021,DOORDASH*URBAN HOT POT,Food & Drink,Sale,-25.63,
07/29/2021,07/29/2021,DOORDASH*BLOWFISH POKE,Food & Drink,Sale,-43.79,
07/25/2021,07/26/2021,DOORDASH*TACO BELL,Food & Drink,Sale,-9.01,
07/23/2021,07/23/2021,Payment Thank You-Mobile,,Payment,446.48,
07/18/2021,07/18/2021,DOORDASH*TRATTORIA E P,Food & Drink,Sale,-37.41,
07/13/2021,07/13/2021,DOORDASH*POPEYES,Food & Drink,Sale,-22.86,
07/05/2021,07/07/2021,ROYAL FARMS #186,Gas,Sale,-6.35,
07/03/2021,07/04/2021,DOORDASH*AN LOI,Food & Drink,Sale,-42.79,
07/02/2021,07/04/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-26.43,
07/04/2021,07/04/2021,DOORDASH*GONG CHA,Food & Drink,Sale,-24.06,
07/02/2021,07/02/2021,DOORDASH*SIAM SQUARE,Food & Drink,Sale,-38.62,
06/30/2021,07/01/2021,PILOT_00213,Gas,Sale,-45.87,
06/30/2021,07/01/2021,DOORDASH*FIRST WATCH,Food & Drink,Sale,-41.79,
06/29/2021,06/30/2021,DOORDASH*PHO 5UP FULTO,Food & Drink,Sale,-34.13,
06/27/2021,06/28/2021,DOORDASH*SHAKE SHACK,Food & Drink,Sale,-40.22,
06/24/2021,06/24/2021,AUTOMATIC PAYMENT - THANK,,Payment,25.00,
06/23/2021,06/23/2021,DOORDASH*POPEYES,Food & Drink,Sale,-14.51,
06/05/2021,06/06/2021,DOORDASH*MAIWAND KABOB,Food & Drink,Sale,-17.15,
05/31/2021,05/31/2021,DOORDASH*MCDONALDS,Food & Drink,Sale,-39.78,
05/28/2021,05/30/2021,DOORDASH*POPEYES,Food & Drink,Sale,-14.51,
05/24/2021,05/24/2021,AUTOMATIC PAYMENT - THANK,,Payment,50.00,
05/13/2021,05/14/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
04/23/2021,04/23/2021,AUTOMATIC PAYMENT - THANK,,Payment,50.00,
04/19/2021,04/19/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
03/27/2021,03/28/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
03/24/2021,03/24/2021,AUTOMATIC PAYMENT - THANK,,Payment,50.00,
03/16/2021,03/17/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
02/28/2021,02/28/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
02/24/2021,02/24/2021,AUTOMATIC PAYMENT - THANK,,Payment,50.00,
02/15/2021,02/15/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
01/31/2021,01/31/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
01/18/2021,01/18/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
01/11/2021,01/11/2021,STARBUCKS 800-782-7282,Food & Drink,Sale,-25.00,
